id,name,rating,potential,position,wage,nation,age,face_url
158023,Lionel Messi,88,88,CAM,500,Argentina,36,https://cdn.sofifa.net/players/158/023/24_120.png
20801,Cristiano Ronaldo,86,86,ST,400,Portugal,39,https://cdn.sofifa.net/players/020/801/24_120.png
231747,Kylian Mbappé,91,94,ST,600,France,25,https://cdn.sofifa.net/players/231/747/24_120.png
239085,Erling Haaland,91,92,ST,550,Norway,23,https://cdn.sofifa.net/players/239/085/24_120.png
190871,Neymar Jr,89,89,CAM,450,Brazil,32,https://cdn.sofifa.net/players/190/871/24_120.png
238794,Vinícius Júnior,89,94,LW,500,Brazil,23,https://cdn.sofifa.net/players/238/794/24_120.png
256790,Jude Bellingham,87,91,CAM,350,England,20,https://cdn.sofifa.net/players/256/790/24_120.png
192985,Kevin De Bruyne,91,91,CM,600,Belgium,32,https://cdn.sofifa.net/players/192/985/24_120.png
203376,Virgil van Dijk,89,89,CB,450,Netherlands,32,https://cdn.sofifa.net/players/203/376/24_120.png
200145,Casemiro,89,89,CDM,400,Brazil,32,https://cdn.sofifa.net/players/200/145/24_120.png
192119,Thibaut Courtois,90,90,GK,450,Belgium,32,https://cdn.sofifa.net/players/192/119/24_120.png
167495,Manuel Neuer,87,87,GK,300,Germany,38,https://cdn.sofifa.net/players/167/495/24_120.png
212198,Bruno Fernandes,88,88,CAM,420,Portugal,29,https://cdn.sofifa.net/players/212/198/24_120.png
202126,Harry Kane,90,90,ST,500,England,30,https://cdn.sofifa.net/players/202/126/24_120.png
209331,Mohamed Salah,89,89,RW,480,Egypt,31,https://cdn.sofifa.net/players/209/331/24_120.png
210257,Ederson,88,88,GK,350,Brazil,30,https://cdn.sofifa.net/players/210/257/24_120.png
235243,Matthijs de Ligt,86,89,CB,320,Netherlands,24,https://cdn.sofifa.net/players/235/243/24_120.png
228702,Frenkie de Jong,87,90,CM,380,Netherlands,27,https://cdn.sofifa.net/players/228/702/24_120.png
230621,Gianluigi Donnarumma,87,90,GK,300,Italy,25,https://cdn.sofifa.net/players/230/621/24_120.png
177003,Luka Modrić,87,87,CM,280,Croatia,38,https://cdn.sofifa.net/players/177/003/24_120.png
188545,Robert Lewandowski,90,90,ST,480,Poland,35,https://cdn.sofifa.net/players/188/545/24_120.png
231281,Trent Alexander-Arnold,86,88,RB,300,England,25,https://cdn.sofifa.net/players/231/281/24_120.png
222492,Rúben Dias,89,90,CB,420,Portugal,27,https://cdn.sofifa.net/players/222/492/24_120.png
233049,Jadon Sancho,82,84,LW,250,England,24,https://cdn.sofifa.net/players/233/049/24_120.png
243812,Rodrygo,85,89,RW,300,Brazil,23,https://cdn.sofifa.net/players/243/812/24_120.png
239818,Rúben Neves,84,85,CDM,220,Portugal,27,https://cdn.sofifa.net/players/239/818/24_120.png
244263,Jamal Musiala,86,93,CAM,280,Germany,21,https://cdn.sofifa.net/players/244/263/24_120.png
248243,Eduardo Camavinga,82,89,CDM,200,France,21,https://cdn.sofifa.net/players/248/243/24_120.png
251854,Pedri,86,92,CM,250,Spain,21,https://cdn.sofifa.net/players/251/854/24_120.png
253004,Gavi,83,90,CM,180,Spain,19,https://cdn.sofifa.net/players/253/004/24_120.png
